	B_anthracis_14RA5914	B_anthracis_17OD930	B_anthracis_2000031021	B_anthracis_2002013094	B_anthracis_A0248	B_anthracis_A1144	B_anthracis_A16	B_anthracis_A16R	B_anthracis_Ames	B_anthracis_Ames_Ancestor_A2084	B_anthracis_BA1015	B_anthracis_BA1035	B_anthracis_BF1	B_anthracis_CDC_684	B_anthracis_CZC5	B_anthracis_Canadian_bison	B_anthracis_Cvac02	B_anthracis_FDAARGOS_341	B_anthracis_FDAARGOS_698	B_anthracis_FDAARGOS_700	B_anthracis_FDAARGOS_701	B_anthracis_FDAARGOS_704	B_anthracis_FDAARGOS_705	B_anthracis_FDAARGOS_706	B_anthracis_H9401	B_anthracis_HYU01	B_anthracis_Han	B_anthracis_K3	B_anthracis_London_499	B_anthracis_MCCC_1A01412	B_anthracis_MCCC_1A02161	B_anthracis_Ohio_ACB	B_anthracis_PAK_1	B_anthracis_PCr	B_anthracis_PR01	B_anthracis_PR02	B_anthracis_PR05	B_anthracis_PR06	B_anthracis_PR07	B_anthracis_PR08	B_anthracis_PR09_1	B_anthracis_PR09_4	B_anthracis_PR10_4	B_anthracis_Parent1	B_anthracis_Parent2	B_anthracis_Pasteur	B_anthracis_RA3	B_anthracis_SK_102	B_anthracis_SPV842_15	B_anthracis_SVA11	B_anthracis_Shikan_NIID	B_anthracis_Stendal	B_anthracis_Sterne	B_anthracis_Tangail_1	B_anthracis_Turkey32	B_anthracis_Tyrol_4675	B_anthracis_V770_NP_1R	B_anthracis_Vollum	B_anthracis_Vollum_1B	NBI0584183_contig	NBI0584184_contig	NBI0584185_contig	NBI0584186_contig	NBI0584187_contig	NBI0584188_contig	NBI0584189_contig	
B_anthracis_14RA5914		2214	3132	3335	242	756	510	539	226	243	675	2651	2164	892	973	896	1199	233	248	208	198	221	217	231	1095	2332	1017	1018	1130	101295	70798	607	757	2629	232	232	233	230	235	236	265	236	250	318	239	874	2373	785	508	2607	287	197	234	323	714	2769	697	799	830	998	966	943	691	1080	948	1113	
B_anthracis_17OD930	2305		3040	3117	2145	2183	2310	2501	1904	2146	2594	1176	150	2265	2209	2068	2300	2145	1920	1885	2028	2049	2048	1912	2466	735	2723	2150	2398	100907	69922	2322	1979	1096	2010	2011	2013	2009	2011	2012	2042	2013	2027	2097	2015	2212	342	2230	2411	1168	2384	2249	2016	2179	2025	773	2495	2160	2161	2399	2545	2547	2604	2627	2379	2662	
B_anthracis_2000031021	3166	3162		160	3175	3067	3473	3617	3071	3175	3407	3512	3107	3430	3465	3192	3463	3198	3112	3057	3047	3080	3080	3096	3386	3199	4128	3481	3361	100786	71054	3237	3100	3453	3032	3032	3034	3030	3029	3030	3060	3031	3045	3108	3032	3160	3196	3317	3419	3493	3201	3168	3040	3248	3113	3355	3300	3311	3401	3549	3524	3539	3619	3542	3427	3538	
B_anthracis_2002013094	3395	3251	155		3377	3344	3714	3787	3024	3377	3626	3800	3202	3544	3519	3967	3486	3265	3060	3007	2984	3016	3015	3041	3724	3382	4004	3622	3673	99970	71079	3412	3222	3711	2986	2986	2988	2984	2984	2985	3015	2986	3000	3068	2987	3151	3313	3547	3574	3777	3433	3317	2994	3398	3356	3607	3473	3487	3500	3302	3286	3226	3226	3410	3148	3397	
B_anthracis_A0248	232	2164	3108	3266		819	464	512	25	1	732	2649	2110	951	1041	924	1252	309	44	6	6	22	19	26	1212	2328	1078	1056	1195	103137	70852	739	804	2653	288	288	289	286	291	292	322	293	307	370	295	926	2314	908	568	2608	163	91	305	206	683	2751	821	831	843	847	778	778	560	968	787	858	
B_anthracis_A1144	728	2172	3021	3192	911		957	889	820	912	749	2577	2156	754	874	572	1044	708	853	807	800	822	819	833	1074	2088	1532	979	779	101168	70254	821	491	2499	601	601	602	599	603	604	634	605	619	687	607	471	2205	768	941	2524	803	816	595	830	457	2498	719	666	687	706	462	546	739	710	672	695	
B_anthracis_A16	512	2347	3274	3532	463	945		732	460	462	984	2808	2289	1146	1164	1189	1436	563	490	447	445	468	464	472	1373	2521	1320	1241	1334	102602	70935	830	930	2780	545	545	547	543	548	549	578	549	563	631	552	1084	2431	1078	831	2764	548	443	548	534	889	3035	982	1092	1110	1081	1009	988	791	1096	1005	1079	
B_anthracis_A16R	536	2370	3371	3538	510	953	731		523	509	1006	2801	2320	1229	1270	1247	1518	561	552	509	509	532	528	534	1422	2518	1367	1290	1318	102576	71039	948	1046	2761	558	558	560	556	561	562	591	562	576	644	565	1223	2507	1183	864	2769	522	485	562	580	908	2925	1072	1148	1168	1286	1181	1181	1017	1191	1171	1176	
B_anthracis_Ames	224	1979	3019	2970	25	738	467	529		25	638	2397	1933	826	939	798	1279	317	68	31	31	46	43	50	1045	2100	1104	963	1015	103134	70714	692	742	2425	312	312	313	310	315	316	346	317	331	394	319	921	2147	828	571	2371	164	106	329	208	589	2555	762	742	758	784	735	733	501	868	733	734	
B_anthracis_Ames_Ancestor_A2084	232	2165	3108	3264	1	821	464	511	25		735	2647	2111	929	1042	927	1252	310	45	7	7	23	20	27	1210	2324	1078	1059	1127	103138	70864	740	805	2650	288	288	289	286	291	292	322	293	307	370	295	928	2314	910	569	2605	162	90	305	206	685	2750	822	830	843	836	779	777	572	933	794	867	
