	B_anthracis_14RA5914	B_anthracis_17OD930	B_anthracis_2000031021	B_anthracis_2002013094	B_anthracis_A0248	B_anthracis_A1144	B_anthracis_A16	B_anthracis_A16R	B_anthracis_Ames	B_anthracis_Ames_Ancestor_A2084	B_anthracis_BA1015	B_anthracis_BA1035	B_anthracis_BF1	B_anthracis_CDC_684	B_anthracis_CZC5	B_anthracis_Canadian_bison	B_anthracis_Cvac02	B_anthracis_FDAARGOS_341	B_anthracis_FDAARGOS_698	B_anthracis_FDAARGOS_700	B_anthracis_FDAARGOS_701	B_anthracis_FDAARGOS_704	B_anthracis_FDAARGOS_705	B_anthracis_FDAARGOS_706	B_anthracis_H9401	B_anthracis_HYU01	B_anthracis_Han	B_anthracis_K3	B_anthracis_London_499	B_anthracis_MCCC_1A01412	B_anthracis_MCCC_1A02161	B_anthracis_Ohio_ACB	B_anthracis_PAK_1	B_anthracis_PCr	B_anthracis_PR01	B_anthracis_PR02	B_anthracis_PR05	B_anthracis_PR06	B_anthracis_PR07	B_anthracis_PR08	B_anthracis_PR09_1	B_anthracis_PR09_4	B_anthracis_PR10_4	B_anthracis_Parent1	B_anthracis_Parent2	B_anthracis_Pasteur	B_anthracis_RA3	B_anthracis_SK_102	B_anthracis_SPV842_15	B_anthracis_SVA11	B_anthracis_Shikan_NIID	B_anthracis_Stendal	B_anthracis_Sterne	B_anthracis_Tangail_1	B_anthracis_Turkey32	B_anthracis_Tyrol_4675	B_anthracis_V770_NP_1R	B_anthracis_Vollum	B_anthracis_Vollum_1B	NBI0584183_contig	NBI0584184_contig	NBI0584185_contig	NBI0584186_contig	NBI0584187_contig	NBI0584188_contig	NBI0584189_contig	
B_anthracis_14RA5914		2816	3870	4129	301	932	602	707	278	302	955	3457	2768	1239	1194	1147	1584	298	320	259	249	285	283	298	1407	2814	1299	1436	1455	123015	86113	750	939	3277	296	296	297	294	299	300	330	301	315	382	303	1081	3000	1104	603	3409	351	259	301	398	986	3294	968	1138	1184	1197	1097	1081	809	1256	1192	1357	
B_anthracis_17OD930	2770		3674	3812	2608	2618	2870	3095	2351	2609	3113	1494	180	2819	2786	2541	2852	2578	2352	2330	2491	2490	2490	2336	2982	899	3362	2739	2869	122735	85214	2784	2424	1445	2438	2438	2440	2436	2439	2440	2470	2441	2455	2524	2443	2687	407	2744	2910	1485	2866	2708	2448	2648	2444	854	2995	2684	2676	2920	2985	2989	3064	3093	2842	3125	
B_anthracis_2000031021	3834	3847		203	3837	3821	4216	4313	3678	3837	4075	4464	3784	4150	4068	3907	4144	3815	3718	3659	3647	3681	3681	3700	4113	3936	5001	4129	4125	121566	84493	3912	3675	4375	3647	3647	3649	3645	3645	3646	3675	3646	3660	3733	3647	3816	3889	3995	4045	4449	3880	3822	3656	3955	3810	4328	3917	3987	4075	4509	4330	4348	4418	4294	4180	4287	
B_anthracis_2002013094	4083	3911	203		4019	4171	4443	4545	3634	4019	4344	4536	3846	4534	4135	4816	4245	3947	3675	3616	3594	3628	3628	3657	4468	4037	4913	4314	4339	121892	84801	4070	3831	4436	3655	3655	3657	3653	3655	3656	3685	3656	3670	3741	3657	3798	3978	4395	4266	4507	4084	3955	3664	4096	4095	4330	4178	4284	4255	4131	4124	4032	4044	4222	3955	4212	
B_anthracis_A0248	332	2627	3793	4039		1063	546	833	27	1	923	3307	2576	1188	1282	1112	1510	372	54	8	8	29	27	32	1471	3002	1304	1438	1504	123390	86423	865	1001	3297	349	349	350	347	352	353	383	354	368	435	356	1102	2786	1099	666	3258	201	110	366	241	890	3362	994	1065	1073	1235	1136	1132	972	1476	1252	1322	
B_anthracis_A1144	915	2619	3656	3944	1048		1153	1177	945	1049	916	3178	2611	915	1032	680	1277	828	1015	925	917	974	974	988	1236	2584	1904	1163	882	123062	86269	973	623	3140	704	704	706	702	706	707	737	708	722	790	710	569	2695	913	1093	3115	971	947	702	976	572	2919	884	826	840	810	568	652	926	832	789	813	
B_anthracis_A16	614	2870	4126	4472	546	1152		1052	535	545	1192	3535	2818	1461	1483	1440	1788	654	568	517	515	541	539	546	1660	3240	1624	1696	1772	123626	86638	1010	1179	3541	637	637	639	635	640	641	671	642	656	723	644	1335	2994	1336	953	3487	630	525	642	631	1157	3711	1169	1399	1408	1621	1584	1562	1281	1889	1661	1734	
B_anthracis_A16R	718	3086	4151	4399	833	1209	1052		852	832	1268	3693	3042	1588	1597	1560	1943	732	895	834	834	870	868	873	1816	3241	1760	1676	1791	123590	86976	1198	1364	3573	730	730	732	728	733	734	764	735	749	816	737	1511	3252	1505	1066	3641	692	800	735	926	1356	3569	1332	1490	1503	1709	1581	1580	1353	1683	1743	1741	
B_anthracis_Ames	309	2370	3634	3654	27	960	535	852		27	806	2973	2326	1036	1163	978	1537	382	80	35	35	55	53	58	1267	2684	1331	1312	1289	123319	86270	792	941	2987	375	375	376	373	378	379	409	380	394	461	382	1064	2553	993	671	2939	189	126	392	242	772	3088	935	942	955	1191	1101	1097	917	1350	1196	1195	
B_anthracis_Ames_Ancestor_A2084	333	2628	3794	4040	1	1064	545	832	27		924	3308	2577	1167	1281	1113	1510	373	55	9	9	30	28	33	1470	3001	1304	1439	1504	123391	86424	866	1002	3298	349	349	350	347	352	353	383	354	368	435	356	1103	2787	1100	667	3259	202	109	366	240	891	3361	995	1066	1074	1236	1137	1133	973	1477	1253	1323	
B_anthracis_BA1015	906	2982	4088	4316	929	1023	1239	1285	812	930		3419	2925	1419	1516	1075	1584	865	855	794	783	819	817	833	1360	2961	2095	1595	1320	123359	86373	962	1065	3326	792	792	794	790	791	792	822	793	807	878	793	1131	3099	1285	1160	3379	942	873	791	1072	1126	3249	92	1368	1381	1211	1204	1207	987	1363	1373	1423	
B_anthracis_BA1035	3310	1423	4412	4623	3281	3154	3622	3629	2949	3281	3438		1365	3481	3396	3173	3473	3126	2987	2930	2922	2958	2956	2969	3373	1090	4181	3671	3510	122799	85685	3276	2956	533	2958	2958	2960	2956	2959	2960	2990	2961	2975	3044	2961	3009	1509	3308	3457	151	3305	3341	2968	3466	3153	2059	3241	3366	3376	3490	3308	3302	3263	3685	3340	3586	
B_anthracis_BF1	2720	180	3634	3770	2555	2610	2818	3051	2305	2556	3056	1385		2758	2649	2491	2798	2531	2308	2284	2447	2446	2446	2290	2918	772	3319	2573	2798	122566	85191	2735	2367	1306	2394	2394	2396	2392	2395	2396	2426	2397	2411	2480	2399	2633	380	2689	2865	1353	2815	2655	2404	2595	2388	823	2940	2635	2616	2891	2838	2841	2913	2894	2671	2950	
B_anthracis_CDC_684	1266	2815	4089	4349	1190	1065	1504	1646	1038	1169	1338	3422	2754		1348	1231	1872	1079	1078	1017	1011	1045	1045	1058	1456	3037	2356	1583	1435	123368	86171	1253	968	3389	1021	1021	1039	1019	1022	1023	1053	1024	1038	1107	1026	1100	2933	340	1384	3351	1218	1163	1020	1421	1167	3232	1188	333	345	1426	1150	1238	1204	317	276	297	
B_anthracis_CZC5	1178	2684	3980	4263	1221	987	1483	1597	1102	1220	1326	3266	2547	1260		1158	1803	1122	1146	1085	1087	1123	1121	1124	1520	2876	2391	915	1379	123562	87007	1325	1055	3280	1031	1031	1033	1029	1032	1033	1063	1034	1048	1126	1036	1015	2675	1098	1422	3214	1297	1151	1031	1268	961	3083	1258	1159	1183	1322	1092	1179	1341	1210	1133	1197	
B_anthracis_Canadian_bison	1163	2459	3691	4417	1142	692	1460	1580	998	1143	1123	3216	2409	1213	1170		1387	1046	1058	977	970	1026	1026	1040	1387	2806	2035	1314	1192	123824	87028	1245	761	3189	948	948	950	946	950	951	981	952	966	1034	954	740	2583	1121	1301	3160	1171	1110	947	1178	796	3014	1065	1016	1049	526	916	936	1162	1298	1218	1274	
